vote res
today i res 12017.310715, batch res 1182.010685
today i res 5694.097541, batch res 1166.364198
today i res 5776.075081, batch res 1117.751969
vote res
today i res 5776.075081, batch res 1117.751969
today i res 5804.730143, batch res 838.950329
today i res 5717.509896, batch res 1106.856162
today i res 5694.097541, batch res 1166.364198
today i res 5284.503039, batch res 713.192824
today i res 4201.528601, batch res 990.060255
today i res 5751.269776, batch res 1485.804183
today i res 5301.258580, batch res 537.136364
today i res 4186.979666, batch res 952.143460
today i res 4893.662570, batch res 1142.760586
vote res
today i res 4208.029404, batch res 838.950329
today i res 4168.806463, batch res 1485.804183
today i res 4124.464566, batch res 1166.364198
today i res 4187.196599, batch res 1117.751969
today i res 4241.754124, batch res 537.136364
today i res 4182.881854, batch res 1015.000798
today i res 3666.550187, batch res 1182.010685
today i res 4141.461752, batch res 1106.856162
today i res 4225.026591, batch res 713.192824
today i res 3666.589253, batch res 1041.682237
vote res
today i res 3498.972497, batch res 429.898047
today i res 3112.050111, batch res 1913.734771
today i res 3383.852844, batch res 1182.010685
today i res 3069.732354, batch res 1121.343636
today i res 3057.190685, batch res 1068.028941
today i res 3896.736982, batch res 1015.000798
today i res 3359.095929, batch res 991.585924
today i res 3117.110436, batch res 596.170356
today i res 3481.182048, batch res 411.916864
today i res 3382.742734, batch res 1041.682237
vote res
today i res 2796.758747, batch res 537.136364
today i res 2781.264061, batch res 366.570685
today i res 3057.190685, batch res 1068.028941
today i res 3069.732354, batch res 1121.343636
today i res 2931.608633, batch res 1015.000798
today i res 3117.110436, batch res 596.170356
today i res 2776.538503, batch res 713.192824
today i res 3498.972497, batch res 429.898047
today i res 3481.182048, batch res 411.916864
today i res 3359.095929, batch res 991.585924
vote res
today i res 2752.010607, batch res 1117.751969
today i res 2765.351468, batch res 838.950329
today i res 2709.416293, batch res 1166.364198
today i res 2740.823572, batch res 1485.804183
today i res 2204.103052, batch res 331.036975
today i res 2776.538503, batch res 713.192824
today i res 2020.585002, batch res 429.898047
today i res 2781.264061, batch res 366.570685
today i res 2720.603328, batch res 1106.856162
today i res 2796.758747, batch res 537.136364
vote res
today i res 1316.381533, batch res 1485.804183
today i res 1332.500491, batch res 713.192824
today i res 1343.246462, batch res 537.136364
today i res 1327.127505, batch res 838.950329
today i res 1311.008547, batch res 331.036975
today i res 1321.754519, batch res 1117.751969
today i res 2020.585002, batch res 429.898047
today i res 1635.756356, batch res 596.170356
today i res 1337.873476, batch res 366.570685
today i res 2010.876144, batch res 411.916864
vote res
today i res 1279.613557, batch res 366.102678
today i res 2020.585002, batch res 429.898047
today i res 1166.008142, batch res 1182.010685
today i res 2010.876144, batch res 411.916864
today i res 1165.995303, batch res 1015.000798
today i res 1268.896499, batch res 226.571957
today i res 1635.756356, batch res 596.170356
today i res 1155.959251, batch res 1913.734771
today i res 1260.487909, batch res 214.761322
today i res 1166.003862, batch res 1041.682237
vote res
today i res 1722.755638, batch res 429.898047
today i res 918.496885, batch res 118.521743
today i res 1023.690572, batch res 281.756392
today i res 1714.247704, batch res 411.916864
today i res 1268.896499, batch res 226.571957
today i res 1260.487909, batch res 214.761322
today i res 937.459139, batch res 138.960627
today i res 933.666688, batch res 267.678162
today i res 1335.525142, batch res 596.170356
today i res 1279.613557, batch res 366.102678
vote res
today i res 707.790162, batch res 252.545861
today i res 715.088341, batch res 366.102678
today i res 709.511298, batch res 214.761322
today i res 584.817761, batch res 1015.000798
today i res 706.629383, batch res 226.571957
today i res 582.469095, batch res 823.158921
today i res 587.166426, batch res 847.301931
today i res 575.423098, batch res 658.557030
today i res 577.771764, batch res 1182.010685
today i res 580.120429, batch res 1041.682237
vote res
today i res 328.805687, batch res 252.545861
today i res 336.891072, batch res 218.368690
today i res 335.543508, batch res 212.522578
today i res 332.848379, batch res 206.073848
today i res 331.500815, batch res 366.102678
today i res 326.110558, batch res 226.571957
today i res 324.762994, batch res 73.292511
today i res 330.153251, batch res 197.757603
today i res 327.458122, batch res 214.761322
today i res 334.195944, batch res 209.986012
vote res
today i res 9368.121211, batch res 1106.856162
today i res 11378.763920, batch res 1913.734771
today i res 9463.311443, batch res 1117.751969
today i res 9531.510866, batch res 1121.343636
today i res 11589.622287, batch res 1247.411471
today i res 10628.962034, batch res 1485.804183
today i res 10247.496316, batch res 1166.364198
today i res 10492.354508, batch res 966.771960
today i res 9850.106840, batch res 896.491848
today i res 10211.017190, batch res 932.953698
vote res
today i res 9463.311443, batch res 1117.751969
today i res 10492.354508, batch res 966.771960
today i res 10211.017190, batch res 932.953698
today i res 9531.510866, batch res 1121.343636
today i res 11401.885635, batch res 1247.411471
today i res 10438.172754, batch res 1485.804183
today i res 9368.121211, batch res 1106.856162
today i res 10057.470192, batch res 1166.364198
today i res 9850.106840, batch res 896.491848
today i res 9256.958410, batch res 1068.028941
vote res
today i res 10092.178949, batch res 1485.804183
today i res 9256.958410, batch res 1068.028941
today i res 8649.222354, batch res 966.771960
today i res 9531.510866, batch res 1121.343636
today i res 9173.538960, batch res 1247.411471
today i res 9714.255454, batch res 1166.364198
today i res 8548.384222, batch res 990.060255
today i res 9182.684370, batch res 1913.734771
today i res 9115.928105, batch res 1117.751969
today i res 9023.516939, batch res 1106.856162
vote res
today i res 8200.725595, batch res 1485.804183
today i res 9256.958410, batch res 1068.028941
today i res 8331.062106, batch res 966.771960
today i res 9531.510866, batch res 1121.343636
today i res 9182.684370, batch res 1913.734771
today i res 8116.873705, batch res 1166.364198
today i res 8148.692724, batch res 1106.856162
today i res 8547.650683, batch res 1071.942741
today i res 8239.204304, batch res 990.060255
today i res 8234.048856, batch res 1117.751969
vote res
today i res 8200.725595, batch res 1485.804183
today i res 8239.204304, batch res 990.060255
today i res 8331.062106, batch res 966.771960
today i res 9531.510866, batch res 1121.343636
today i res 7946.833645, batch res 991.585924
today i res 8547.650683, batch res 1071.942741
today i res 8234.048856, batch res 1117.751969
today i res 8116.873705, batch res 1166.364198
today i res 8148.692724, batch res 1106.856162
today i res 9256.958410, batch res 1068.028941
vote res
today i res 8331.062106, batch res 966.771960
today i res 8148.692724, batch res 1106.856162
today i res 8200.725595, batch res 1485.804183
today i res 7630.751930, batch res 952.143460
today i res 8239.204304, batch res 990.060255
today i res 7643.258869, batch res 1182.010685
today i res 7693.925695, batch res 838.950329
today i res 7764.724280, batch res 932.953698
today i res 8234.048856, batch res 1117.751969
today i res 8116.873705, batch res 1166.364198
vote res
today i res 7132.145222, batch res 1117.751969
today i res 7045.633072, batch res 966.771960
today i res 7102.783648, batch res 1068.028941
today i res 7132.830020, batch res 1121.343636
today i res 7055.621646, batch res 1106.856162
today i res 7103.238239, batch res 1485.804183
today i res 7643.258869, batch res 1182.010685
today i res 7152.452130, batch res 838.950329
today i res 7375.424641, batch res 952.143460
today i res 7985.919634, batch res 990.060255
vote res
today i res 6590.400783, batch res 1015.000798
today i res 7643.258869, batch res 1182.010685
today i res 7055.621646, batch res 1106.856162
today i res 7132.830020, batch res 1121.343636
today i res 7102.783648, batch res 1068.028941
today i res 7152.452130, batch res 838.950329
today i res 7103.238239, batch res 1485.804183
today i res 7132.145222, batch res 1117.751969
today i res 7028.218905, batch res 1166.364198
today i res 6491.656974, batch res 1913.734771
vote res
today i res 7132.145222, batch res 1117.751969
today i res 6265.835332, batch res 713.192824
today i res 7055.621646, batch res 1106.856162
today i res 7132.830020, batch res 1121.343636
today i res 7103.238239, batch res 1485.804183
today i res 7102.783648, batch res 1068.028941
today i res 7152.452130, batch res 838.950329
today i res 7028.218905, batch res 1166.364198
today i res 6033.478259, batch res 1002.816874
today i res 6418.557847, batch res 1071.942741
vote res
today i res 5296.513303, batch res 1117.751969
today i res 6418.557847, batch res 1071.942741
today i res 7102.783648, batch res 1068.028941
today i res 7132.830020, batch res 1121.343636
today i res 5285.162936, batch res 878.259594
today i res 5789.370421, batch res 991.585924
today i res 5318.023451, batch res 838.950329
today i res 5235.535517, batch res 1106.856162
today i res 5339.533599, batch res 713.192824
today i res 5275.003155, batch res 1485.804183
vote res
today i res 5339.533599, batch res 713.192824
today i res 5235.535517, batch res 1106.856162
today i res 5275.003155, batch res 1485.804183
today i res 4854.450879, batch res 1121.343636
today i res 5318.023451, batch res 838.950329
today i res 4903.158845, batch res 990.060255
today i res 5296.513303, batch res 1117.751969
today i res 5214.025369, batch res 1166.364198
today i res 4829.313338, batch res 1068.028941
today i res 5011.475612, batch res 537.136364
vote res
today i res 4829.313338, batch res 1068.028941
today i res 4148.440058, batch res 1071.942741
today i res 3954.213155, batch res 1117.751969
today i res 4854.450879, batch res 1121.343636
today i res 4018.509304, batch res 537.136364
today i res 4551.227430, batch res 1182.010685
today i res 3951.080180, batch res 1913.734771
today i res 3986.361230, batch res 713.192824
today i res 4002.435267, batch res 366.570685
today i res 3970.287192, batch res 838.950329
vote res
today i res 3986.361230, batch res 713.192824
today i res 4551.227430, batch res 1182.010685
today i res 3922.065081, batch res 331.036975
today i res 4002.435267, batch res 366.570685
today i res 3905.991044, batch res 1106.856162
today i res 4018.509304, batch res 537.136364
today i res 3970.287192, batch res 838.950329
today i res 3954.213155, batch res 1117.751969
today i res 3951.080180, batch res 1913.734771
today i res 3938.139118, batch res 1485.804183
vote res
today i res 3922.065081, batch res 331.036975
today i res 3938.139118, batch res 1485.804183
today i res 3970.287192, batch res 838.950329
today i res 3954.213155, batch res 1117.751969
today i res 3986.361230, batch res 713.192824
today i res 3531.243137, batch res 1182.010685
today i res 4002.435267, batch res 366.570685
today i res 3889.917006, batch res 1166.364198
today i res 3905.991044, batch res 1106.856162
today i res 4018.509304, batch res 537.136364
vote res
today i res 2912.147784, batch res 847.301931
today i res 2924.798738, batch res 366.570685
today i res 2877.814019, batch res 1485.804183
today i res 2889.560199, batch res 1117.751969
today i res 2936.544918, batch res 537.136364
today i res 3433.183287, batch res 1015.000798
today i res 2913.052558, batch res 713.192824
today i res 3531.243137, batch res 1182.010685
today i res 2901.306379, batch res 838.950329
today i res 2980.057409, batch res 1041.682237
vote res
today i res 2877.814019, batch res 1485.804183
today i res 2854.321660, batch res 1106.856162
today i res 2901.306379, batch res 838.950329
today i res 2711.866265, batch res 1121.343636
today i res 2889.560199, batch res 1117.751969
today i res 2913.052558, batch res 713.192824
today i res 2866.067840, batch res 331.036975
today i res 2936.544918, batch res 537.136364
today i res 2842.575480, batch res 1166.364198
today i res 2924.798738, batch res 366.570685
vote res
today i res 2238.543449, batch res 126.842621
today i res 2280.388440, batch res 352.678474
today i res 2600.565133, batch res 366.102678
today i res 2273.353849, batch res 1121.343636
today i res 2242.095141, batch res 218.368690
today i res 2700.867037, batch res 429.898047
today i res 2232.518058, batch res 411.916864
today i res 2687.470970, batch res 596.170356
today i res 2260.551026, batch res 1068.028941
today i res 2225.667668, batch res 212.522578
vote res
today i res 2173.247804, batch res 252.545861
today i res 2182.245902, batch res 197.757603
today i res 2225.667668, batch res 212.522578
today i res 2242.095141, batch res 218.368690
today i res 2216.669570, batch res 209.986012
today i res 2198.005887, batch res 206.073848
today i res 2238.543449, batch res 126.842621
today i res 1820.196710, batch res 117.916396
today i res 2600.565133, batch res 366.102678
today i res 2220.547253, batch res 125.825743
vote res
today i res 1689.987036, batch res 366.570685
today i res 1656.051553, batch res 331.036975
today i res 1669.625746, batch res 1117.751969
today i res 1662.838650, batch res 1485.804183
today i res 1683.199939, batch res 713.192824
today i res 1696.774132, batch res 537.136364
today i res 1676.412843, batch res 838.950329
today i res 1649.264457, batch res 1106.856162
today i res 1635.690263, batch res 1002.816874
today i res 1642.477360, batch res 1166.364198
vote res
today i res 921.695459, batch res 252.545861
today i res 942.956344, batch res 212.522578
today i res 930.874052, batch res 206.073848
today i res 940.252635, batch res 126.842621
today i res 932.642765, batch res 125.825743
today i res 882.910029, batch res 847.301931
today i res 939.151409, batch res 209.986012
today i res 925.500394, batch res 197.757603
today i res 948.997490, batch res 218.368690
today i res 931.541540, batch res 366.102678
vote res
today i res 659.431548, batch res 1029.937208
today i res 643.412968, batch res 1183.407285
today i res 667.440838, batch res 1913.734771
today i res 656.761785, batch res 841.696624
today i res 662.101311, batch res 1265.434457
today i res 646.082731, batch res 1276.473129
today i res 654.092021, batch res 1196.425713
today i res 664.771075, batch res 1168.442850
today i res 651.422258, batch res 542.812318
today i res 648.752494, batch res 890.743851
vote res
today i res 538.926868, batch res 252.545861
today i res 559.052768, batch res 126.842621
today i res 556.816557, batch res 218.368690
today i res 552.344135, batch res 212.522578
today i res 547.871713, batch res 117.916396
today i res 550.107924, batch res 209.986012
today i res 554.580346, batch res 125.825743
today i res 543.399291, batch res 206.073848
today i res 545.635502, batch res 366.102678
today i res 541.163079, batch res 197.757603
vote res
today i res 9091.036749, batch res 1168.442850
today i res 9116.631938, batch res 1183.407285
today i res 13583.512718, batch res 1913.734771
today i res 9852.134927, batch res 1196.425713
today i res 8137.304706, batch res 1247.411471
today i res 10182.106717, batch res 1395.362775
today i res 10524.649814, batch res 1265.434457
today i res 8385.179457, batch res 966.771960
today i res 11170.711461, batch res 1276.473129
today i res 7586.679532, batch res 1485.804183
vote res
today i res 9538.396239, batch res 1276.473129
today i res 8615.112200, batch res 1183.407285
today i res 7472.733004, batch res 1196.425713
today i res 11165.877990, batch res 1913.734771
today i res 8137.304706, batch res 1247.411471
today i res 7773.232726, batch res 1395.362775
today i res 8127.277774, batch res 1265.434457
today i res 8385.179457, batch res 966.771960
today i res 7446.332129, batch res 932.953698
today i res 7586.679532, batch res 1485.804183
vote res
today i res 8803.806825, batch res 1913.734771
today i res 7036.990330, batch res 1183.407285
today i res 7446.332129, batch res 932.953698
today i res 7586.679532, batch res 1485.804183
today i res 8137.304706, batch res 1247.411471
today i res 7441.305533, batch res 896.491848
today i res 8385.179457, batch res 966.771960
today i res 7659.265170, batch res 1276.473129
today i res 7442.100552, batch res 1071.942741
today i res 7070.489318, batch res 846.694349
vote res
today i res 8385.179457, batch res 966.771960
today i res 6815.576539, batch res 1276.473129
today i res 7586.679532, batch res 1485.804183
today i res 7442.100552, batch res 1071.942741
today i res 8137.304706, batch res 1247.411471
today i res 7133.574455, batch res 1913.734771
today i res 6840.262043, batch res 1182.010685
today i res 7441.305533, batch res 896.491848
today i res 7446.332129, batch res 932.953698
today i res 7070.489318, batch res 846.694349
vote res
today i res 6740.827987, batch res 847.301931
today i res 6741.913436, batch res 1183.407285
today i res 7133.574455, batch res 1913.734771
today i res 6739.021392, batch res 948.194202
today i res 7040.172611, batch res 1485.804183
today i res 6840.262043, batch res 1182.010685
today i res 7070.489318, batch res 846.694349
today i res 7442.100552, batch res 1071.942741
today i res 6768.917386, batch res 966.771960
today i res 6815.576539, batch res 1276.473129
vote res
today i res 6768.917386, batch res 966.771960
today i res 7442.100552, batch res 1071.942741
today i res 7070.489318, batch res 846.694349
today i res 6368.831816, batch res 1121.343636
today i res 6739.021392, batch res 948.194202
today i res 6368.824132, batch res 1015.000798
today i res 7040.172611, batch res 1485.804183
today i res 6740.827987, batch res 847.301931
today i res 6517.200332, batch res 1182.010685
today i res 6513.725886, batch res 1041.682237
vote res
today i res 6740.827987, batch res 847.301931
today i res 7070.489318, batch res 846.694349
today i res 6366.263225, batch res 952.143460
today i res 6368.831816, batch res 1121.343636
today i res 6385.357543, batch res 966.771960
today i res 6739.021392, batch res 948.194202
today i res 7442.100552, batch res 1071.942741
today i res 6368.824132, batch res 1015.000798
today i res 6517.200332, batch res 1182.010685
today i res 6513.725886, batch res 1041.682237
vote res
today i res 5311.272514, batch res 1166.364198
today i res 5631.878688, batch res 1183.407285
today i res 5390.853385, batch res 1117.751969
today i res 6366.263225, batch res 952.143460
today i res 5330.688528, batch res 1106.856162
today i res 6385.357543, batch res 966.771960
today i res 6161.570150, batch res 830.633178
today i res 5601.636761, batch res 880.082668
today i res 5369.020875, batch res 1485.804183
today i res 6343.461663, batch res 990.060255
vote res
today i res 5570.430019, batch res 830.633178
today i res 5045.505816, batch res 1183.407285
today i res 5017.647518, batch res 880.082668
today i res 5369.020875, batch res 1485.804183
today i res 5390.853385, batch res 1117.751969
today i res 5206.103470, batch res 1182.010685
today i res 5115.157930, batch res 1913.734771
today i res 5311.272514, batch res 1166.364198
today i res 5330.688528, batch res 1106.856162
today i res 5191.779990, batch res 1041.682237
vote res
today i res 4523.467571, batch res 966.771960
today i res 4489.032710, batch res 990.060255
today i res 5390.853385, batch res 1117.751969
today i res 4682.058692, batch res 830.633178
today i res 4537.437880, batch res 838.950329
today i res 5330.688528, batch res 1106.856162
today i res 4555.783346, batch res 713.192824
today i res 5369.020875, batch res 1485.804183
today i res 4501.520686, batch res 1002.816874
today i res 5311.272514, batch res 1166.364198
vote res
today i res 3883.580507, batch res 1182.010685
today i res 3822.897255, batch res 537.136364
today i res 4127.016735, batch res 1068.028941
today i res 4147.721072, batch res 1121.343636
today i res 3908.343609, batch res 1015.000798
today i res 3912.095278, batch res 948.194202
today i res 4087.827749, batch res 830.633178
today i res 3889.587892, batch res 990.060255
today i res 3840.454095, batch res 1071.942741
today i res 3899.198535, batch res 1041.682237
vote res
today i res 3792.314077, batch res 713.192824
today i res 3883.580507, batch res 1182.010685
today i res 3912.095278, batch res 948.194202
today i res 3908.343609, batch res 1015.000798
today i res 3889.587892, batch res 990.060255
today i res 3807.605666, batch res 366.570685
today i res 4087.827749, batch res 830.633178
today i res 3822.897255, batch res 537.136364
today i res 3777.022488, batch res 838.950329
today i res 3899.198535, batch res 1041.682237
vote res
today i res 3746.439310, batch res 1485.804183
today i res 3822.897255, batch res 537.136364
today i res 3731.147721, batch res 331.036975
today i res 3762.104744, batch res 830.633178
today i res 3777.022488, batch res 838.950329
today i res 3792.314077, batch res 713.192824
today i res 3807.605666, batch res 366.570685
today i res 3761.730899, batch res 1117.751969
today i res 3715.856132, batch res 1106.856162
today i res 3700.564543, batch res 1166.364198
vote res
today i res 2884.765892, batch res 366.570685
today i res 3208.319177, batch res 880.082668
today i res 3167.143304, batch res 952.143460
today i res 2873.180487, batch res 713.192824
today i res 3762.104744, batch res 830.633178
today i res 2896.351298, batch res 537.136364
today i res 3466.648768, batch res 366.102678
today i res 3225.888214, batch res 1183.407285
today i res 3183.637257, batch res 1276.473129
today i res 3572.985131, batch res 990.060255
vote res
today i res 2896.351298, batch res 537.136364
today i res 2861.595082, batch res 838.950329
today i res 2873.180487, batch res 713.192824
today i res 2850.009677, batch res 1117.751969
today i res 2884.765892, batch res 366.570685
today i res 2832.182254, batch res 596.170356
today i res 3185.736694, batch res 366.102678
today i res 2869.816833, batch res 429.898047
today i res 2858.216387, batch res 411.916864
today i res 2838.424272, batch res 1485.804183
vote res
today i res 2133.703446, batch res 847.301931
today i res 2337.827202, batch res 226.571957
today i res 2869.816833, batch res 429.898047
today i res 2240.795488, batch res 830.633178
today i res 2858.216387, batch res 411.916864
today i res 3185.736694, batch res 366.102678
today i res 2318.442156, batch res 214.761322
today i res 1927.060538, batch res 267.678162
today i res 2832.182254, batch res 596.170356
today i res 2814.067404, batch res 281.756392
vote res
today i res 1857.299893, batch res 948.194202
today i res 1823.370144, batch res 846.694349
today i res 1839.407309, batch res 743.940714
today i res 2133.703446, batch res 847.301931
today i res 1838.571629, batch res 1071.942741
today i res 2240.795488, batch res 830.633178
today i res 1835.313666, batch res 823.158921
today i res 1849.842408, batch res 1015.000798
today i res 1820.398697, batch res 1182.010685
today i res 1831.148407, batch res 1041.682237
vote res
today i res 1849.842408, batch res 1015.000798
today i res 2133.703446, batch res 847.301931
today i res 1839.407309, batch res 743.940714
today i res 1514.356368, batch res 1121.343636
today i res 1838.571629, batch res 1071.942741
today i res 1835.313666, batch res 823.158921
today i res 1823.370144, batch res 846.694349
today i res 1820.398697, batch res 1182.010685
today i res 1857.299893, batch res 948.194202
today i res 1831.148407, batch res 1041.682237
vote res
today i res 1123.733358, batch res 896.491848
today i res 1139.654200, batch res 966.771960
today i res 1115.712316, batch res 830.633178
today i res 1123.626994, batch res 660.124112
today i res 1114.491382, batch res 952.143460
today i res 1128.194799, batch res 990.060255
today i res 1135.139577, batch res 932.953698
today i res 1119.165553, batch res 615.907227
today i res 1112.327140, batch res 564.352780
today i res 1095.780373, batch res 537.136364
vote res
today i res 1065.098522, batch res 1106.856162
today i res 1087.014130, batch res 713.192824
today i res 1082.631008, batch res 838.950329
today i res 1076.899633, batch res 1121.343636
today i res 1078.247887, batch res 1117.751969
today i res 1072.531456, batch res 1068.028941
today i res 1073.864765, batch res 1485.804183
today i res 1069.481644, batch res 331.036975
today i res 1091.397251, batch res 366.570685
today i res 1095.780373, batch res 537.136364
vote res
today i res 573.187159, batch res 648.772359
today i res 579.708060, batch res 878.259594
today i res 577.379915, batch res 1071.942741
today i res 1076.899633, batch res 1121.343636
today i res 582.036205, batch res 991.585924
today i res 580.148947, batch res 1183.407285
today i res 1072.531456, batch res 1068.028941
today i res 575.507755, batch res 1276.473129
today i res 570.866564, batch res 622.280602
today i res 577.828351, batch res 880.082668
vote res
today i res 573.187159, batch res 648.772359
today i res 580.148947, batch res 1183.407285
today i res 559.263585, batch res 1265.434457
today i res 577.828351, batch res 880.082668
today i res 570.866564, batch res 622.280602
today i res 563.904776, batch res 445.534865
today i res 568.545968, batch res 1913.734771
today i res 561.584180, batch res 1196.425713
today i res 575.507755, batch res 1276.473129
today i res 566.225372, batch res 830.633178
vote res
today i res 9425.752042, batch res 841.696624
today i res 12135.642834, batch res 1182.010685
today i res 16994.688880, batch res 1913.734771
today i res 9196.191886, batch res 1183.407285
